feuille;categorie;titre;description;responsable;priorite;statut;commentaire
Orinasa;Amélioration;À vérifier : Absence de badge rouge sur les messages non lus;;Equipe développement;Moyenne;A faire;
Orinasa;Bug;Décalage des dates dans les statuts générés;Tout les documents généré (satut, contrat de bail), les dates affichées dans la section relative aux informations d’une personne sont erronée (date de naissance, date délivrance CIN) : elle apparaît systématiquement avec un jour de moins (J-1) par rapport à la date réelle saisie.;Equipe développement;Haute;A faire;
Orinasa;Amélioration;Amélioration de l’état de versement FO - FISC : Séparation des montants de paiement par mode;L’état de versement FO - FISC doit distinguer les montants selon le mode de paiement : Espèces et Chèques;Equipe développement;Moyenne;A faire;
Orinasa;Bug;Correction du contrôle d'associé mineur;Par exemple, une personne née le 12/01/2003 est toujours identifiée comme mineure, alors qu’elle a 22 ans.;Equipe développement;Haute;A faire;
Orinasa;Bug;À vérifier : Rôles d’une Société Civile (SC) et présence de la nomination statutaire;> Actuellement, tous les rôles disponibles s’affichent : PDG, PCA, DG, Gérant, Co-gérant, administrateur etc > L’information sur la nomination statutaire devrait être : Gérant statutaire;Equipe développement;Haute;Terminé;
Orinasa;Assistance technique / Support utilisateur;Support aux utilisateurs;Assistance technique continue aux usagers. Cette tâche consiste à répondre aux sollicitations des utilisateurs, que ce soit par téléphone, par courriel ou via les canaux internes. Les demandes concernent principalement la compréhension des démarches en ligne, la correction d’erreurs de saisie, les difficultés liées à la soumission des dossiers, ainsi que les cas particuliers bloquant le traitement. Une attention particulière est portée à l’accompagnement des usagers tout au long de la procédure, afin de garantir une utilisation correcte et fluide de la plateforme;Support Technique;Haute;Continu;
Orinasa;Gestion manuelle de dossiers;Abandon de dossier en doublon : Le système ne prévoit pas la suppression définitive d’un dossier, mais certains cas nécessitent l’abandon manuel de dossiers créés en double. Cela survient notamment lorsque l’utilisateur soumet une nouvelle demande à la suite des observations formulées lors de l’étude de recevabilité du dossier initial. Dans ce contexte, les agents demandent l’abandon de l’un des deux dossiers identiques.;Abandon de dossier en doublon : Le système ne prévoit pas la suppression définitive d’un dossier, mais certains cas nécessitent l’abandon manuel de dossiers créés en double. Cela survient notamment lorsque l’utilisateur soumet une nouvelle demande à la suite des observations formulées lors de l’étude de recevabilité du dossier initial. Dans ce contexte, les agents demandent l’abandon de l’un des deux dossiers identiques.  Un autre cas fréquent concerne les demandes déposées par un mandataire devenu injoignable, poussant la société à soumettre une nouvelle demande. Les agents identifient alors le dossier à conserver, et celui à abandonner.  L’opération consiste, pour les développeurs, à transférer la propriété du dossier concerné et à modifier sa dénomination sociale en y ajoutant la mention "ABANDONNÉ", après validation de Mme Mialy;;;Continu;
Orinasa;Gestion manuelle de dossiers;Modification de certaines informations d’un dossier en état "En attente de RDV" ou "En cours d'immatriculation", non modifiables depuis l’espace client.;Modification de certaines informations d’un dossier en état "En attente de RDV" ou "En cours d'immatriculation", non modifiables depuis l’espace client. Cette intervention est nécessaire lorsque des écarts sont constatés entre les informations saisies en ligne et celles figurant dans le dossier physique déposé, notamment en ce qui concerne les noms des parents des dirigeants, le numéro de la pièce d’identité, le changement de siège social, la dénomination sociale ou encore la date de fin d’exercice social. Ces modifications sont effectuées manuellement par les développeurs, à la demande des agents, afin de garantir la conformité du dossier;;;Continu;
Orinasa;Interopérabilité / Interfaces externes;Résolution des problèmes liés à l’interopérabilité avec les plateformes externes (NIFonline, RCS-CM).;Résolution des problèmes liés à l’interopérabilité avec les plateformes externes (NIFonline, RCS-CM). Les incidents rencontrés concernent principalement des cas de doublons, des incohérences de format de données (numéro CIN, carte de résident) ou encore des informations non référencées dans la base de la DGI (ex. : fokontany non reconnu).;;;Continu;
Orinasa;État de versement / Reporting;Élaboration des états de versement pour les comptes des agents du Front Office d’Antananarivo (incluant initialement les paiements des antennes).;Élaboration des états de versement pour les comptes des agents du Front Office d’Antananarivo (incluant initialement les paiements des antennes). Les comptes utilisateurs des agents FO d’Antananarivo ont été configurés avec une visibilité étendue sur l’ensemble des dossiers au niveau national. Ainsi, lors de l’exportation des états de versement, ceux-ci incluent également les paiements effectués par les antennes régionales (ex. : Fort-Dauphin).  Pour garantir la cohérence des états de versement spécifiques à Antananarivo, un traitement manuel ou une adaptation de l’export est nécessaire afin d’exclure les paiements émis par les autres antennes.;;;;
Orinasa;;Google analytics;Mise à jour de Google Analytics : la configuration actuellement en place ne fonctionne plus et nécessite une actualisation afin de rétablir le suivi des statistiques.;;;;
Orinasa;;Affichage des IR sur le coté back office;IR  IR du regime réel  IR sans TVA;;;;
Orinasa;;Certaine dossier changent automatiquement en dossier en cours sans validation préalable par l'une des entités;Anomalie constatée : certains dossiers changent automatiquement de statut vers « En cours » sans validation préalable, ce qui entraîne une incohérence dans le flux de traitement.;;;;
Orinasa;;Gestion des personnes listes noirs;Mise en place d’une fonctionnalité de gestion des personnes blacklistées, incluant l’ajout dans une liste noire et le blocage automatique de tous les dossiers concernés afin d’empêcher leur traitement.;;Urgent;;
e-work;Assistance technique / Support utilisateur;Support aux utilisateurs;Assistance technique continue aux usagers par téléphone, notamment sur les procédures liées au renouvellement des demandes. Cette tâche consiste à accompagner les utilisateurs dans le remplissage des informations relatives aux travailleurs, à les orienter sur la démarche à suivre pour le renouvellement d’un travailleur déjà enregistré sur la plateforme, ainsi qu’à les guider dans la soumission complète de leur dossier en ligne;Support Technique;Haute;En cours;
e-work;Gestion manuelle de paiement;Ajustement du taux de change et du montant à payer;Ajustement du taux de change et du montant à payer d’un dossier en fonction de la somme effectivement versée par l’usager. Cette opération, validée en concertation avec la DAF et les agents des front offices, permet de corriger les écarts entre le montant initialement enregistré et la somme réellement apportée lors du paiement.;Equipe développement;Haute;;
e-work;Gestion manuelle de compte;Modification de l'adress email associée à un compte société;Modification de l’adresse email associée à un compte société. Conformément à la règle en vigueur, une seule adresse email peut être liée à un compte validé par un NIF. En cas d’indisponibilité de l’adresse initiale (adresse inactive ou départ du titulaire), le changement est effectué exclusivement par l’équipe technique (développeurs), sur validation préalable de Mme Mialy  Solution proposée : permettre la modification de l’adresse e-mail via une procédure d’authentification, en saisissant les identifiants (NIF de la société ou ancienne adresse e-mail) ainsi que le mot de passe.;Equipe développement;Haute;;
e-work;Bug;Vérification de l’impression des bulletins BE;Une autorisation d'emploi figure dans la liste d'imprission des bulletins BE alors qu’aucun numéro d'AE ne lui est attribué. Il faut analyser la cause de cette incohérence et corriger le comportement si nécessaire.;;;;
e-work;Nouvelle fonctionnalité;Mise en place d’un système de notification par email pour les AE arrivant à échéance;Mettre en place un système d’envoi automatique d’emails aux utilisateurs dont l’AE (Autorisation d’Exercer) approche de la date d’échéance : > Un premier email est envoyé 6 mois avant l’expiration > Un second rappel est envoyé 1 mois avant l’expiration  Ces notifications permettront aux utilisateurs d’être informés à temps et de prendre les mesures nécessaires pour renouveler leur AE.;;;;
e-work;Nouvelle fonctionnalité;Envoi d’un email de notification à l’utilisateur lorsque son dossier est recevable ou non;Mettre en place un système de notification par email pour informer automatiquement l’utilisateur du statut de son dossier : > Email de confirmation lorsque le dossier est recevable > Email de refus lorsque le dossier est non recevable, avec indication du ou des motifs si possible;;;;
e-work;NOuvelle fonctionnalité;Envoi d’un email de notification lors de la récupération d’une AE;Mettre en place un système d’envoi automatique d’un email pour notifier l’utilisateur dès qu’une AE est récupérée.;;;;
e-work;Amélioration (UX);Remplacer le libellé "Login" par "NIF" sur la page de connexion;Remplacer "Login" par "NIF", afin de clarifier à l’utilisateur qu’il doit saisir son Numéro d’Identification Fiscale.;;;;
e-work;Amélioration / Etude de faisabilité;Étudier la possibilité de gérer plusieurs sociétés avec un seul email (mandataire/cabinet);Analyser et mettre en œuvre, si possible, une fonctionnalité permettant à un mandataire ou cabinet de gérer plusieurs sociétés à l’aide d’un seul compte (même adresse email).;;;;
e-work;Amélioration réglementaire;Suppression des informations sur le passeport dans les documents générés (FRT);Modifier la génération des documents FRT afin de supprimer les informations liées au passeport (numéro, date de délivrance, etc.).;;;A discuter avec BO après la MAJ effectuée concernant ces informations;
e-work;Amélioration (UX);Mettre en place un accès direct aux dossiers depuis la messagerie interne;Ajouter dans la fonctionnalité messagerie un lien cliquable permettant à l’utilisateur d’ouvrir directement le dossier concerné à partir du message reçu.;;;;
e-work;NOuvelle fonctionnalité (UX);Mise en place de la sauvegarde automatique des données lors du remplissage des formulaires;Une fonctionnalité permettant de sauvegarder automatiquement les données saisies par l’utilisateur au fur et à mesure du remplissage des formulaires Objectifs :  Éviter la perte d’informations en cas d’interruption (fermeture du navigateur, coupure réseau, etc.) Améliorer l’expérience utilisateur en permettant de reprendre facilement la saisie là où elle a été interrompue;;;;
e-work;Nouvelle fonctionnalité;Recherche d’un salarié par numéro AE;Implémenter une fonctionnalité permettant de retrouver un salarié existant en saisissant le numéro de son dernier permis de travail;;;;
e-work;Amélioration (formulaire);Rendre la saisie d’un associé non obligatoire sur la FRE;Modifier le formulaire FRE afin que la saisie d’un associé ne soit plus obligatoire lors de la création ou modification d’un dossier.;;;;
e-work;NOuvelle fonctionnalité (UX);Valider un RDV via le bouton "Confirmer RDV" (Front Office);Mettre en place la fonctionnalité permettant à l’utilisateur de valider un rendez-vous en cliquant directement sur un seul bouton "Confirmer RDV" depuis le front office.  Actuellement, nous avons deux boutons "confirmer RDV et En attente RDV";;;;
e-work;Nouvelle fonctionnalité;Ajouter la fonctionnalité de suppression d’un dossier;Mettre en place la possibilité pour les utilisateurs autorisés de supprimer un dossier depuis l’interface.;;;;
e-work;Amélioration (formulaire);Ajouter un champ d’explications pour les variations importantes sur la FRE;Intégrer dans le formulaire FRE un champ permettant à l’utilisateur de renseigner des explications détaillées lorsque des variations importantes sont détectées.;;;;
e-work;Nouvelle fonctionnalité;Ajouter la possibilité d’imprimer ou d’exporter le calendrier des RDV;Mettre en place une fonctionnalité permettant aux utilisateurs d’imprimer ou d’exporter le calendrier des rendez-vous depuis l’interface, pour les agents front office.;;;;
e-work;Nouvelle fonctionnalité;Mise en place du système de rejet d’une demande d’AE;Développement d’une fonctionnalité permettant de rejeter une demande de permis de travail, en réponse aux cas de refus émis par le ministère.;;;;
e-work;Nouvelle fonctionnalité;Possibilité de supprimer une demande d’un travailleur dans un dossier;Mettre en place une fonctionnalité permettant de supprimer une demande spécifique liée à un travailleur au sein d’un dossier.;;;;
e-work;Nouvelle fonctionnalité;Possibilité de la modification du permis de travail après génération et avant envoi pour signature;Mettre en place une fonctionnalité qui autorise la modification des informations de l'autorisation d'emploi une fois celle-ci générée, mais avant son envoi pour signature;;;;
e-work;Amélioration / bug potentiel;Gestion des dossiers payés non validés par l’agent Front Office;Mettre en place une solution pour les cas où un dossier a été payé mais que l’agent Front Office n’a pas validé le paiement, entraînant un blocage du dossier qui reste en statut « dossier physique conforme » sans possibilité de validation. Actuellement, nous avons deux boutons "Confirmer" et "Valider le paiement";;;;
e-work;Amélioration /bug (document);Permettre la modification de la pièce "contrat de travail" après enregistrement pour les demandes de renouvellement;Ajouter une fonctionnalité qui autorise la modification du document "contrat de travail" d’un travailleur une fois celui-ci enregistré, uniquement dans le cadre des demandes de renouvellement.;;;;
e-work;Amélioration (UX);Avertir l’utilisateur avant de quitter la page si modifications sauvegardées mais non validées par « Mettre à jour »;Mettre en place une alerte pour prévenir l’utilisateur lorsqu’il quitte la page à la troisième étape, après avoir effectué des modifications, mais sans avoir cliqué sur le bouton « Mettre à jour ».;;;;
e-work;Bug;Vérifier et corriger le blocage de soumission lié à un document manquant chez un travailleur;Analyser et corriger le cas où une demande ne peut pas être soumise parce qu’un document est détecté comme manquant pour un travailleur, alors que tous les autres documents sont correctement complétés.;;;;
e-work;Bug / Amélioration;Éviter le passage en « Modifications en cours » lors du téléchargement des documents générés;Corriger le comportement du dossier qui passe en statut « Modifications en cours » dès qu’un usager télécharge les documents générés après obtention d’un rendez-vous;;;;
e-work;Analyse /Suivi;Mise en place de Google Analytics;Integration de système de suivi;;;;
e-work;Amélioration;Statistique : nombre par genre (HOMME et FEMME);;;;;
e-work;Bug;Correction de la date de fin de validité des anciennes AE;Correction de la date de fin de validité de l’ancienne autorisation de travail pour certains travailleurs afin d’éviter les conflits dans la création des nouvelles autorisations. En effet, lorsque la date de fin de l’autorisation initiale se situe entre deux dates spécifiques (par exemple, entre le 15/08/2024 et le 15/08/2025), la nouvelle autorisation doit débuter le lendemain de la date de fin précédente (ici le 16/08/2025). Or, une saisie anticipée au 15/08/2025 provoque un conflit bloquant la création du nouveau dossier. Cette tâche consiste donc à ajuster la date de fin de l’ancienne autorisation pour garantir la continuité sans chevauchement.;Equipe développement;;OK;
e-work;Amélioration;Ajout champs date de demande motivé et nominative;Incohérence entre la date de demande inscrite dans la lettre de demande motivée et celle figurant sur le permis de travail généré.  Solution : ajout d’un champ « date de demande motivée » modifiable depuis le back-office avant la génération du permis de travail, afin d’assurer la cohérence des informations.;Veronique;;OK;
e-work;Amélioration;Affichage des commentaires pour les sociétés et les travailleurs;Problème d’affichage des commentaires longs : lorsque la longueur du commentaire dépasse une certaine limite, celui-ci est tronqué et remplacé par des points de suspension (« … »), sans possibilité de visualiser le contenu complet.;Marko;;OK;
Autres;;Suivi des autres digitalisations au niveau de l'EDBM;Surveillance et accompagnement des autres projets de digitalisation  Site web de l'EDBM RH EVALUATION HEAZ ETOOLIA;;Moyenne;;
Autres;;Suivi des stagiaires;Encadrement et suivi des travaux des stagiaires;;Moyenne;;
Autres;;Déploiement des plateformes et les mises à jour;Mise en production des nouvelles plateformes;;Haute;;
Autres;;Backup de toutes les plateformes digitalisées;Sauvegarde des bases de données, fichiers, documents et architectures;Équipe Technique;Haute;À faire;
Autres;;Rédaction des documentations techniques des projets (LS-VISA, MADAZEF);Préparer les documents techniques : architecture, API, modèle de données, procédures d'installation, sécurité, etc.;;Haute;À faire;
srne;Amélioration;Ajout d’une confirmation lors de la validation d’une immatriculation avec le code activité 99909;Le code d’activité 99909 est utilisé par défaut dans Orinasa. Pour éviter que ce code temporaire soit validé par erreur comme activité principale, il est nécessaire d’afficher une alerte de confirmation au moment de la validation de l’immatriculation, si ce code n’a pas été modifié.;Equipe développement (Front end);Moyenne;A faire;
srne;Nouvelle fonctionnalité;Prise en charge des modèles de carte statistique pour chaque antenne;Actuellement, le modèle de carte statistique généré par la plateforme est adapté uniquement pour la région Analamanga (Antananarivo).  Il est nécessaire de mettre en place une configuration dynamique du modèle de carte statistique, en fonction de la localisation du siège social de la société (province ou région concernée).;Equipe développement (Front end et back end);Haute;A faire;
srne;Nouvelle fonctionnalité;Certificat d'existence;Même cas que le carte statistique;Equipe développement (Front end et back end);Haute;A faire;
Orinasa Iteration 4;Test;Exécution des tests des fonctionnalités : création, modification, radiation;Réaliser des tests fonctionnels pour valider le comportement de la partie création, ainsi que des fonctionnalités récemment ajoutées de modification et de radiation.;Équipe Développement Responsable métier;;OK - pour la création;
Orinasa Iteration 4;SERAPI RCS;Implémentation de l’interopérabilité Orinasa – RCS-CM pour la modification et la radiation;Mettre en œuvre l’interopérabilité entre la plateforme Orinasa et le système RCS-CM afin de permettre la transmission et la synchronisation des données dans le cadre des démarches de modification et de radiation d’entreprise. Cette tâche inclut : > Analyse des données à échanger entre les deux systèmes > Développement des API dans la partie SERAPI permet d'echanger les données entre Orinasa et la base de données RCS-CM  > Mise en place des règles de validation, d’envoi et de réception > Tests d’intégration pour garantir la fiabilité des échanges > Documentation de la solution mise en œuvre;Véronique;;Analyse effectuée Développement des API en cours;
Orinasa Iteration 4;SRNE;Implémentation de l’interopérabilité Orinasa – SRNE pour la modification et la radiation;Analyse de l'existant et des besoins liés aux procedures de modification côté INSTAT. Développement de l’interopérabilité entre les plateformes Orinasa et SRNE afin de permettre la transmission automatique des informations relatives aux démarches de modification et de radiation d’entreprise, la validation des dossiers par le SRNE, ainsi que l’attribution ou la mise à jour du numéro statistique dans le système SRNE après traitement.;INSTAT;;La passation avec l’équipe IT de l’INSTAT a été effectuée.;
Orinasa Iteration 4;ORINASA ITERATION 4;Mise en place des fonctionnalités de modification et radiation des entreprises;;E-tech;;OK;
Orinasa Iteration 4;;Mise à jour du site web d'information;;;;OK - à vérifier;
Orinasa Iteration 4;;Création des API pour l'échange de données vers SERAPI et SRNE;;;;En cours;
Orinasa Iteration 4;XROAD;Sécurisation des échanges de données entre les plateformes Orinasa, SERAPI et SRNE;;UGD;;;
madazef;BUG;Retour incorrect à la phase de recevabilité après modification en phase de décision;Cas nouvelle demande : lorsqu'une modification est effectuée sur une demande déjà en phase de décision, le dossier revient à tort à la phase d’étude de recevabilité  Comportement attendu : La demande doit rester en phase de décision, même après modification, sauf si une règle spécifique impose un retour en arrière.;;;;
madazef;Amélioration;Réorganisation de l’ordre d’affichage des documents;Réorganiser l’affichage des documents selon l’ordre dans le modèle fournis.  Actuellement, certaines sections comme « Demande adressée à la DG » apparaissent en bas de page, ce qui crée de la confusion pour les utilisateurs.;;;;
madazef;Amélioration;Mettre la date au format JJ/MM/AAAA dans le commentaire de confirmation RDV réunion CTI;Modifier le format de la date affichée dans le commentaire de confirmation du rendez-vous pour la réunion CTI afin qu’elle soit au format 22/07/2025 au lieu de 2025-07-22.;;;;
madazef;Nouvelle fonctionnalité;Affichage des agréments/attestations dans l’espace client;Dans l’espace client, afficher la liste des agréments ou attestations liés à son compte avec les fonctionnalités suivantes : > Visualisation des informations clés (Dénomination social, type, numéro, statut, etc) > Consultation du fichier associé (agrément ou attestation) via un bouton ou lien > Ouverture dans une nouvelle fenêtre ou prévisualisation intégrée > Accès restreint uniquement au client concerné;;;;
madazef;Nouvelle fonctionnalité;Affichage de la liste des agréments dans l’espace admin;Mettre en place une interface dans l’espace administrateur permettant : > L’affichage de la liste des agréments (avec informations pertinentes : dénomination social, NIF , type de la demande, etc.)  La possibilité de télécharger : > La version non signée de l’agrément > L’agrément signé;;;;
madazef;Nouvelle fonctionnalité;Export de la liste des agréments par type de demande (Excel);Permettre le téléchargement de la liste des agréments sous format Excel, avec un filtrage par type de demande : Nouvelle demande Demande de modification;;;;
madazef;Amélioration (UX);Réorganiser l’ordre d’affichage : formulaire de paiement avant les détails de la demande;Adapter la disposition des formulaires afin que le formulaire de paiement soit affiché en priorité, avant le formulaire contenant les détails de la demande.;;;;
madazef;Nouvelle fonctionnalité;Statistique;Mise en place des statistiques :  > Délai de traitement pour chaque changement de statut;;;;
madazef;Amélioration / accès;Restrictions d’accès : réunions CTI & demandes éligibles;Accès réservé uniquement aux agents back office;;;;
madazef;BUG;Modification de mot de passe et la fonctionnalité mot de passe oublié;Mot de passe oublié : Aucun effet après avoir cliqué sur le bouton de réinitialisation du mot de passe.  Modification du mot de passe via le menu Profil : Après l'enregistrement du nouveau mot de passe, l'ancien mot de passe reste actif et n'est pas remplacé.;;;;
madazef;Optimisation / performance;Optimiser le temps de chargement de la page;Analyser et améliorer les performances pour réduire le temps de chargement de la page.;;;;
madazef;Amélioration;Changement des libellés;Mettre produits finis ou services car ce n'est pas forcément une entreprise industrielle de transformation;Marko;;OK;
madazef;Amélioration;Restriction d'accès pour le compte d'un agent pilote;;Marko;;OK;
madazef;Amélioration;Mise à jour du modèle de reçu de paiement;;Marko;;OK;
madazef;Amélioration;Ajout de champs dans le rapport d’activités;Modifier le rapport d’activités pour inclure les nouveaux champs suivants :   Nom de la société Nationalité Promoteur Effectuf du personnel Investissement Chiffre d'affaire;Tsiaro;;En cours;
madazef;Nouvelle fonctionnalité;Envoie d'un email d'accusé de reception après dépôt d'un rapport d'activité;Envoi automatique d'un e-mail d'accusé de réception au client après l'enregistrement de son rapport d'activité et de son état financier.;Tsiaro;;En cours;
madazef;Amélioration;Envoie mail pour réunion CTI : augmentation du taille des pièces jointes;La taille des pièces jointes est limitée à 15 Mo. Solution proposée : enregistrer les pièces jointes sur le serveur et insérer dans l'e-mail un lien de téléchargement permettant aux destinataires d'accéder aux documents.;Tsiaro;;En cours;
madazef;Amélioration;Utilisation de l'adresse e-mail institutionnelle pour les convocations CTI;Configuration des adresses d'expédition des e-mails : Utilisation de l'adresse madazef@edbm.mg pour l'envoi des e-mails de convocation destinés aux membres de la CTI. Utilisation de l'adresse noreply@edbm.mg pour l'ensemble des autres notifications et e-mails automatiques générés par la plateforme.;Veronique;Haute;OK;
lsvisa;Prise en main;Installation locale du projet;Effectuer l’installation du projet en environnement local afin de pouvoir l’exécuter et le tester. Cette tâche comprend : > Clonage du dépôt (Git ou autre) > Configuration de l’environnement (base de données, variables d’environnement, dépendances) > Lancement de l’application et vérification du bon fonctionnement initial Objectif : disposer d’un environnement local opérationnel pour le développement et les tests.;;;;
lsvisa;Prise en main;Prise en main du projet;Analyser la structure et le fonctionnement général du projet pour en comprendre l’architecture et les principaux modules. Cette tâche inclut : > Lecture du code et documentation existante > Compréhension des principaux composants (back-end, front-end, base de données, API, etc.) Objectif : être autonome sur le projet pour contribuer efficacement.;;;;
lsvisa;Test;Test de toutes les fonctionnalités;Tester l’ensemble des fonctionnalités de l’application afin de vérifier leur bon fonctionnement et identifier d’éventuels bugs. Cette tâche inclut : > Suivi d’un scénario utilisateur complet > Test des cas d’usage principaux et secondaires > Notation des anomalies ou incohérences rencontrées Objectif : s'assurer que le système fonctionne conformément aux attentes et préparer le terrain pour les éventuelles corrections ou améliorations.;;;;
lsvisa;Nouvelle fonctionnalité;Mise en place des statistiques;Développer et intégrer un module de statistiques;;;;
lsvisa;Amélioration;Sécurisation des tokens;;;;;
lsvisa;Nouvelle fonctionnalité;Interopérabilité avec la plateforme Pandora : ajout du champ "numéro de reçu préimprimé" et phase de test.;Dans le cadre de l’amélioration de l’échange de données avec la plateforme Pandora, un nouveau champ intitulé 'numéro de reçu préimprimé' a été intégré au flux d’interopérabilité. Cette évolution vise à renforcer la traçabilité des paiements et à harmoniser les informations transmises entre les deux systèmes;;;;
lsvisa;;Mise à jour des configurations de l'email;;;;;
